Play,Rk,G,Date,Age,Tm,HorA,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BoxPM
SK,5,5,5/7/1996,30-223,CHI,,NYK,W (+11),0,19:00,2,5,0.4,1,2,0.5,0,0,,0,0,0,1,0,0,1,1,5,1.6,3
SK,6,6,5/11/1996,30-227,CHI,@,NYK,L (-3),0,24:00:00,3,5,0.6,0,1,0,0,0,,0,0,0,3,2,0,1,1,6,6.4,3
SK,7,7,5/12/1996,30-228,CHI,@,NYK,W (+3),0,23:00,2,2,1,0,0,,3,3,1,0,0,0,0,1,0,0,1,7,7,3
SK,8,8,5/14/1996,30-230,CHI,,NYK,W (+13),0,17:00,1,1,1,0,0,,2,2,1,0,1,1,2,0,0,1,0,4,4.4,3
SK,9,9,5/19/1996,30-235,CHI,,ORL,W (+38),0,17:00,5,7,0.714,4,5,0.8,0,0,,0,4,4,6,3,0,0,2,14,18.7,3
SK,10,10,5/21/1996,30-237,CHI,,ORL,W (+5),0,15:00,1,2,0.5,0,1,0,1,2,0.5,1,1,2,1,0,0,0,0,3,3.3,3
SK,11,11,5/25/1996,30-241,CHI,@,ORL,W (+19),0,15:00,3,6,0.5,2,5,0.4,0,1,0,0,0,0,2,1,0,2,0,8,5,3
SK,12,12,5/27/1996,30-243,CHI,@,ORL,W (+5),0,27:00:00,3,5,0.6,1,3,0.333,2,2,1,0,1,1,1,3,0,0,4,9,9.1,3
SK,13,13,6/5/1996,30-252,CHI,,SEA,W (+17),0,12:00,0,5,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,-3.5,3
SK,14,14,6/7/1996,30-254,CHI,,SEA,W (+4),0,13:00,1,6,0.167,0,4,0,1,1,1,0,0,0,0,0,0,0,2,3,-1.6,3
SK,15,15,6/9/1996,30-256,CHI,@,SEA,W (+22),0,25:00:00,3,4,0.75,1,2,0.5,1,1,1,0,2,2,2,1,0,1,2,8,7.6,3
SK,16,16,6/12/1996,30-259,CHI,@,SEA,L (-21),0,22:00,1,6,0.167,1,4,0.25,2,2,1,1,0,1,1,0,0,1,0,5,1.6,3
SK,17,17,6/14/1996,30-261,CHI,@,SEA,L (-11),0,24:00:00,2,8,0.25,1,7,0.143,2,3,0.667,0,1,1,2,0,0,1,3,7,1.3,3
SK,18,18,6/16/1996,30-263,CHI,,SEA,W (+12),0,17:00,3,4,0.75,1,2,0.5,0,0,,1,0,1,0,0,0,1,1,7,4.7,3
